filename,category
1-100032-A-0.wav,dog
1-103298-A-9.wav,crow
1-104089-A-22.wav,clapping
1-104089-B-22.wav,clapping
1-105224-A-22.wav,clapping
1-110389-A-0.wav,dog
1-110537-A-22.wav,clapping
1-115545-A-48.wav,fireworks
1-115545-B-48.wav,fireworks
1-115545-C-48.wav,fireworks
1-115546-A-48.wav,fireworks
1-115920-A-22.wav,clapping
1-115920-B-22.wav,clapping
1-115921-A-22.wav,clapping
1-116765-A-41.wav,chainsaw
1-119125-A-45.wav,train
1-155858-A-25.wav,footsteps
1-155858-B-25.wav,footsteps
1-155858-C-25.wav,footsteps
1-155858-D-25.wav,footsteps
1-155858-E-25.wav,footsteps
1-155858-F-25.wav,footsteps
1-160563-A-48.wav,fireworks
1-160563-B-48.wav,fireworks
1-16568-A-3.wav,cow
1-17124-A-43.wav,car_horn
1-172649-A-40.wav,helicopter
1-172649-B-40.wav,helicopter
1-172649-C-40.wav,helicopter
1-172649-D-40.wav,helicopter
1-172649-E-40.wav,helicopter
1-172649-F-40.wav,helicopter
1-1791-A-26.wav,laughing
1-181071-A-40.wav,helicopter
1-181071-B-40.wav,helicopter
1-18527-A-44.wav,engine
1-18527-B-44.wav,engine
1-19026-A-43.wav,car_horn
1-19111-A-24.wav,coughing
1-19118-A-24.wav,coughing
1-19898-A-41.wav,chainsaw
1-19898-B-41.wav,chainsaw
1-19898-C-41.wav,chainsaw
1-202111-A-3.wav,cow
1-223162-A-25.wav,footsteps
1-22882-A-44.wav,engine
1-24074-A-43.wav,car_horn
1-24076-A-43.wav,car_horn
1-254507-A-43.wav,car_horn
1-25777-A-48.wav,fireworks
1-25781-A-48.wav,fireworks
1-26143-A-21.wav,sneezing
1-26176-A-43.wav,car_horn
1-26177-A-43.wav,car_horn
1-28808-A-43.wav,car_horn
1-29680-A-21.wav,sneezing
1-30039-A-26.wav,laughing
1-30043-A-26.wav,laughing
1-30226-A-0.wav,dog
1-30344-A-0.wav,dog
1-30830-A-24.wav,coughing
1-31748-A-21.wav,sneezing
1-32318-A-0.wav,dog
1-33658-A-26.wav,laughing
1-34094-A-5.wav,cat
1-34094-B-5.wav,cat
1-36164-A-26.wav,laughing
1-36164-B-26.wav,laughing
1-39835-A-9.wav,crow
1-39835-B-9.wav,crow
1-47250-A-41.wav,chainsaw
1-47250-B-41.wav,chainsaw
1-47273-A-21.wav,sneezing
1-47274-A-21.wav,sneezing
1-47819-A-5.wav,cat
1-47819-B-5.wav,cat
1-47819-C-5.wav,cat
1-50454-A-44.wav,engine
1-50455-A-44.wav,engine
1-50661-A-44.wav,engine
1-51147-A-25.wav,footsteps
1-52266-A-24.wav,coughing
1-52323-A-24.wav,coughing
1-53663-A-24.wav,coughing
1-54065-A-45.wav,train
1-54065-B-45.wav,train
1-54505-A-21.wav,sneezing
1-56233-A-9.wav,crow
1-56234-A-9.wav,crow
1-56380-A-5.wav,cat
1-56380-B-5.wav,cat
1-58277-A-3.wav,cow
1-58792-A-24.wav,coughing
1-59324-A-21.wav,sneezing
1-59513-A-0.wav,dog
1-61261-A-44.wav,engine
1-62509-A-45.wav,train
1-62565-A-44.wav,engine
1-63679-A-24.wav,coughing
1-64398-A-41.wav,chainsaw
1-64398-B-41.wav,chainsaw
1-64473-A-45.wav,train
1-69422-A-3.wav,cow
1-69641-A-3.wav,cow
1-70300-A-45.wav,train
1-72695-A-26.wav,laughing
1-73123-A-26.wav,laughing
1-75162-A-9.wav,crow
1-77160-A-3.wav,cow
1-77241-A-3.wav,cow
1-79113-A-5.wav,cat
1-81269-A-3.wav,cow
1-81883-A-21.wav,sneezing
1-85362-A-0.wav,dog
1-88409-A-45.wav,train
1-88409-B-45.wav,train
