label;mid;display_name;source;filename;filepath;old_filename;old_filepath;ind_train;display_name.1
1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;../data/amsterdam_custom_samples/wav_samples/eval/0db/556_gunshots/0db_shot556DL2.319.ch01.180718.180832.48..wav;../data/amsterdam_custom_samples/wav_samples/eval/0db/556_gunshots/0db_shot556DL2.319.ch01.180718.180832.48..wav;shot556DL2.319.ch01.180718.180832.48..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.319.ch01.180718.180832.48..wav;eval;556 gunshots
1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;../data/amsterdam_custom_samples/wav_samples/eval/6db/556_gunshots/6db_shot556DL2.319.ch01.180718.180832.48..wav;../data/amsterdam_custom_samples/wav_samples/eval/6db/556_gunshots/6db_shot556DL2.319.ch01.180718.180832.48..wav;shot556DL2.319.ch01.180718.180832.48..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.319.ch01.180718.180832.48..wav;eval;556 gunshots
1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;../data/amsterdam_custom_samples/wav_samples/eval/12db/556_gunshots/12db_shot556DL2.319.ch01.180718.180832.48..wav;../data/amsterdam_custom_samples/wav_samples/eval/12db/556_gunshots/12db_shot556DL2.319.ch01.180718.180832.48..wav;shot556DL2.319.ch01.180718.180832.48..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.319.ch01.180718.180832.48..wav;eval;556 gunshots
1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;../data/amsterdam_custom_samples/wav_samples/eval/0db/556_gunshots/0db_shot556DL2.140.ch01.180718.180218.22..wav;../data/amsterdam_custom_samples/wav_samples/eval/0db/556_gunshots/0db_shot556DL2.140.ch01.180718.180218.22..wav;shot556DL2.140.ch01.180718.180218.22..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.140.ch01.180718.180218.22..wav;eval;556 gunshots
1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;../data/amsterdam_custom_samples/wav_samples/eval/6db/556_gunshots/6db_shot556DL2.140.ch01.180718.180218.22..wav;../data/amsterdam_custom_samples/wav_samples/eval/6db/556_gunshots/6db_shot556DL2.140.ch01.180718.180218.22..wav;shot556DL2.140.ch01.180718.180218.22..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.140.ch01.180718.180218.22..wav;eval;556 gunshots
1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;../data/amsterdam_custom_samples/wav_samples/eval/12db/556_gunshots/12db_shot556DL2.140.ch01.180718.180218.22..wav;../data/amsterdam_custom_samples/wav_samples/eval/12db/556_gunshots/12db_shot556DL2.140.ch01.180718.180218.22..wav;shot556DL2.140.ch01.180718.180218.22..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.140.ch01.180718.180218.22..wav;eval;556 gunshots
1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;../data/amsterdam_custom_samples/wav_samples/train/0db/556_gunshots/0db_shot556DL2.527.ch01.180718.182743.10..wav;../data/amsterdam_custom_samples/wav_samples/train/0db/556_gunshots/0db_shot556DL2.527.ch01.180718.182743.10..wav;shot556DL2.527.ch01.180718.182743.10..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.527.ch01.180718.182743.10..wav;train;556 gunshots
1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;../data/amsterdam_custom_samples/wav_samples/train/6db/556_gunshots/6db_shot556DL2.527.ch01.180718.182743.10..wav;../data/amsterdam_custom_samples/wav_samples/train/6db/556_gunshots/6db_shot556DL2.527.ch01.180718.182743.10..wav;shot556DL2.527.ch01.180718.182743.10..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.527.ch01.180718.182743.10..wav;train;556 gunshots
1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;../data/amsterdam_custom_samples/wav_samples/train/12db/556_gunshots/12db_shot556DL2.527.ch01.180718.182743.10..wav;../data/amsterdam_custom_samples/wav_samples/train/12db/556_gunshots/12db_shot556DL2.527.ch01.180718.182743.10..wav;shot556DL2.527.ch01.180718.182743.10..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.527.ch01.180718.182743.10..wav;train;556 gunshots
1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;../data/amsterdam_custom_samples/wav_samples/eval/0db/556_gunshots/0db_shot556.428.ch01.180718.171934.72..wav;../data/amsterdam_custom_samples/wav_samples/eval/0db/556_gunshots/0db_shot556.428.ch01.180718.171934.72..wav;shot556.428.ch01.180718.171934.72..wav;../data/wav_samples_custom/556_gunshots/shot556.428.ch01.180718.171934.72..wav;eval;556 gunshots
