display_name;;label;mid;display_name;source;filename;filepath
556 gunshots;259;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.319.ch01.180718.180832.48..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.319.ch01.180718.180832.48..wav
556 gunshots;876;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.140.ch01.180718.180218.22..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.140.ch01.180718.180218.22..wav
556 gunshots;117;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.527.ch01.180718.182743.10..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.527.ch01.180718.182743.10..wav
556 gunshots;237;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556.428.ch01.180718.171934.72..wav;../data/wav_samples_custom/556_gunshots/shot556.428.ch01.180718.171934.72..wav
556 gunshots;625;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556.64.ch01.180718.162650.54..wav;../data/wav_samples_custom/556_gunshots/shot556.64.ch01.180718.162650.54..wav
556 gunshots;637;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.406.ch01.180718.181659.46..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.406.ch01.180718.181659.46..wav
556 gunshots;429;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.540.ch01.180718.182925.16..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.540.ch01.180718.182925.16..wav
556 gunshots;786;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot2000m.16.ch01.180718.163832.76..wav;../data/wav_samples_custom/556_gunshots/shot2000m.16.ch01.180718.163832.76..wav
556 gunshots;544;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.510.ch01.180718.182646.26..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.510.ch01.180718.182646.26..wav
556 gunshots;886;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.240.ch01.180718.180553.09..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.240.ch01.180718.180553.09..wav
556 gunshots;843;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.701.ch01.180718.183727.48..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.701.ch01.180718.183727.48..wav
556 gunshots;35;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.127.ch01.180718.175856.69..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.127.ch01.180718.175856.69..wav
556 gunshots;882;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.553.ch01.180718.183104.27..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.553.ch01.180718.183104.27..wav
556 gunshots;715;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556.152.ch01.180718.164108.92..wav;../data/wav_samples_custom/556_gunshots/shot556.152.ch01.180718.164108.92..wav
556 gunshots;684;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.17.ch01.180718.174253.25..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.17.ch01.180718.174253.25..wav
556 gunshots;687;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556.320.ch01.180718.170405.44..wav;../data/wav_samples_custom/556_gunshots/shot556.320.ch01.180718.170405.44..wav
556 gunshots;111;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.512.ch01.180718.182649.44..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.512.ch01.180718.182649.44..wav
556 gunshots;814;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.285.ch01.180718.180654.11..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.285.ch01.180718.180654.11..wav
556 gunshots;31;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.731.ch01.180718.183921.38..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.731.ch01.180718.183921.38..wav
556 gunshots;866;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.161.ch01.180718.180345.41..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.161.ch01.180718.180345.41..wav
556 gunshots;559;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.172.ch01.180718.180357.25..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.172.ch01.180718.180357.25..wav
556 gunshots;84;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556.417.ch01.180718.171721.73..wav;../data/wav_samples_custom/556_gunshots/shot556.417.ch01.180718.171721.73..wav
556 gunshots;261;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556.164.ch01.180718.164323.76..wav;../data/wav_samples_custom/556_gunshots/shot556.164.ch01.180718.164323.76..wav
556 gunshots;316;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.11.ch01.180718.174131.62..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.11.ch01.180718.174131.62..wav
556 gunshots;53;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.424.ch01.180718.181805.80..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.424.ch01.180718.181805.80..wav
556 gunshots;593;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.560.ch01.180718.183309.12..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.560.ch01.180718.183309.12..wav
556 gunshots;617;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.410.ch01.180718.181714.28..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.410.ch01.180718.181714.28..wav
556 gunshots;394;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.235.ch01.180718.180547.49..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.235.ch01.180718.180547.49..wav
556 gunshots;55;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556.69.ch01.180718.162930.78..wav;../data/wav_samples_custom/556_gunshots/shot556.69.ch01.180718.162930.78..wav
556 gunshots;369;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.25.ch01.180718.174413.38..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.25.ch01.180718.174413.38..wav
556 gunshots;795;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.214.ch01.180718.180501.83..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.214.ch01.180718.180501.83..wav
556 gunshots;33;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556.181.ch01.180718.164607.27..wav;../data/wav_samples_custom/556_gunshots/shot556.181.ch01.180718.164607.27..wav
556 gunshots;395;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.597.ch01.180718.183356.65..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.597.ch01.180718.183356.65..wav
556 gunshots;796;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.47.ch01.180718.174800.42..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.47.ch01.180718.174800.42..wav
556 gunshots;441;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.712.ch01.180718.183749.42..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.712.ch01.180718.183749.42..wav
556 gunshots;348;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.386.ch01.180718.181527.70..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.386.ch01.180718.181527.70..wav
556 gunshots;889;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.291.ch01.180718.180749.29..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.291.ch01.180718.180749.29..wav
556 gunshots;126;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.65.ch01.180718.174948.46..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.65.ch01.180718.174948.46..wav
556 gunshots;858;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.129.ch01.180718.175859.31..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.129.ch01.180718.175859.31..wav
556 gunshots;342;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.407.ch01.180718.181704.21..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.407.ch01.180718.181704.21..wav
556 gunshots;669;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.327.ch01.180718.180842.81..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.327.ch01.180718.180842.81..wav
556 gunshots;608;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.180.ch01.180718.180406.09..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.180.ch01.180718.180406.09..wav
556 gunshots;143;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556DL2.52.ch01.180718.174837.06..wav;../data/wav_samples_custom/556_gunshots/shot556DL2.52.ch01.180718.174837.06..wav
556 gunshots;904;1001;/c/a_1001;556 gunshots;custom_amsterdam_sample;shot556.329.ch01.180718.170430.70..wav;../data/wav_samples_custom/556_gunshots/shot556.329.ch01.180718.170430.70..wav
