;label;mid;display_name;source;filename;filepath
0;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_02 (copy 3).wav;../data/wav_samples_custom/0_silence/silence_02 (copy 3).wav
1;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_05 (copy 4).wav;../data/wav_samples_custom/0_silence/silence_05 (copy 4).wav
2;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_03 (copy 4).wav;../data/wav_samples_custom/0_silence/silence_03 (copy 4).wav
3;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_05 (copy 5).wav;../data/wav_samples_custom/0_silence/silence_05 (copy 5).wav
4;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_04 (copy 5).wav;../data/wav_samples_custom/0_silence/silence_04 (copy 5).wav
5;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_01 (copy 1).wav;../data/wav_samples_custom/0_silence/silence_01 (copy 1).wav
6;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_03 (copy 2).wav;../data/wav_samples_custom/0_silence/silence_03 (copy 2).wav
7;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_04 (copy 2).wav;../data/wav_samples_custom/0_silence/silence_04 (copy 2).wav
8;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_04.wav;../data/wav_samples_custom/0_silence/silence_04.wav
9;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_05 (copy 3).wav;../data/wav_samples_custom/0_silence/silence_05 (copy 3).wav
10;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_03 (copy 3).wav;../data/wav_samples_custom/0_silence/silence_03 (copy 3).wav
11;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_02.wav;../data/wav_samples_custom/0_silence/silence_02.wav
12;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_03 (copy 1).wav;../data/wav_samples_custom/0_silence/silence_03 (copy 1).wav
13;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_01 (copy 3).wav;../data/wav_samples_custom/0_silence/silence_01 (copy 3).wav
14;1000;/c/a_1000;Silence;custom_amsterdam_sample;silence_03 (copy 5).wav;../data/wav_samples_custom/0_silence/silence_03 (copy 5).wav
